issue_key,comment_id,comment_created_datetimetz,comment_updated_datetimetz,comment_author_id,comment_author_name,comment_author_timezone,comment_author_update_id,comment_author_update_name,comment_author_update_timezone,comment_body,project
HELIX-749,16568194,2018-08-03T13:21:29.826+0000,2018-08-03T13:21:29.826+0000,dmodha,Digant Modha,America/New_York,dmodha,Digant Modha,America/New_York,Also DedupEventProcessor should be a daemon thread or shutdown properly.,helix
HELIX-749,16632559,2018-09-28T21:09:56.661+0000,2018-09-28T21:27:50.730+0000,dmodha,Digant Modha,America/New_York,dmodha,Digant Modha,America/New_York,also _forceRebalanceTimer in GenericHelixController should be a daemon.,helix
HELIX-749,16632563,2018-09-28T21:27:02.883+0000,2018-09-28T21:27:02.883+0000,dmodha,Digant Modha,America/New_York,dmodha,Digant Modha,America/New_York,also _rebalanceExecutor in RebalanceScheduler should either be daemon or shutdown properly,helix
HELIX-748,16558786,2018-07-26T19:11:24.073+0000,2018-07-26T19:11:24.073+0000,jiajunwang,Jiajun Wang,America/Los_Angeles,jiajunwang,Jiajun Wang,America/Los_Angeles,"Change to something like this:

public <T> T retryUntilConnected(final Callable<T> callable)
throws IllegalArgumentException, ZkException {
if (_zookeeperEventThread != null && Thread.currentThread() == _zookeeperEventThread) {
throw new IllegalArgumentException(""Must not be done in the zookeeper event thread."");
}
final long operationStartTime = System.currentTimeMillis();
while (true) {
if (_closed) {
throw new IllegalStateException(""ZkClient already closed!"");
}
try {
final ZkConnection zkConnection = (ZkConnection) getConnection();
// Validate that the connection is not null before trigger callback
if (zkConnection == null || zkConnection.getZookeeper() == null) {
LOG.debug(
""ZkConnection is in invalid state! Retry until timeout or ZkClient closed."");
} else {
return callable.call();
}
} catch (InterruptedException e) {
throw new ZkInterruptedException(e);
} catch (Exception e) {
// we give the ZkClient some time to fix the connection issue.
Thread.yield();
waitForRetry();
}
// before attempting a retry, check whether retry timeout has elapsed
if (System.currentTimeMillis() - operationStartTime > _operationRetryTimeoutInMillis) {
throw new ZkTimeoutException(
""Operation cannot be retried because of retry timeout ("" + _operationRetryTimeoutInMillis
+ "" milli seconds)"");
}
}
}

 

Need to validate if any corner cases and adding test cases.",helix
HELIX-748,16558820,2018-07-26T19:51:31.594+0000,2018-07-26T19:51:31.594+0000,k4j,kishore gopalakrishna,America/Los_Angeles,k4j,kishore gopalakrishna,America/Los_Angeles,This make the cpu spin indefinitely in that while loop if connection == null. we probably need to call waitForRetry ,helix
HELIX-748,16564149,2018-07-31T18:33:38.780+0000,2018-07-31T18:33:38.780+0000,jiajunwang,Jiajun Wang,America/Los_Angeles,jiajunwang,Jiajun Wang,America/Los_Angeles,"Good point. We shall certainly do that.

Besides this concern, we need to resolve another issue as well. Note in the proposed code, we keep retrying on any Exceptions except ZkException or InterruptedException. This could be dangerous. If any callback logic throws random Exception because of their business logic, the client call will keep retrying forever.

So, 2 options:
 # Check all possible Exception thrown by the Zk operation call. Only throwing KeeperExceptions so we know when to retry when to stop.
 # Change ZkConnection processing logic to ensure it is never to be null. In this case, any exceptions shall be related to business logic. We can safely end the retry. To implement this, we can implement an atomic connection swap logic. So that the ZkConnection ref is always valid.

Based on our investigation, option 2 seems to be a cleaner design. ZkConnection is used everywhere. Any possibility that this ref to be null means more error handling work.",helix
HELIX-748,16564369,2018-07-31T21:05:57.654+0000,2018-07-31T21:05:57.654+0000,k4j,kishore gopalakrishna,America/Los_Angeles,k4j,kishore gopalakrishna,America/Los_Angeles,not sure I can follow that. Please submit the PR and we can discuss further on GitHub,helix
HELIX-748,16564371,2018-07-31T21:09:07.300+0000,2018-07-31T21:09:07.300+0000,jiajunwang,Jiajun Wang,America/Los_Angeles,jiajunwang,Jiajun Wang,America/Los_Angeles,"Sure, will post the code later.

This is for recording the discussion only. We haven't started coding yet.",helix
HELIX-747,16980041,2019-11-22T10:21:04.179+0000,2019-11-22T10:21:04.179+0000,lboutry,Laurent Boutry,Etc/UTC,lboutry,Laurent Boutry,Etc/UTC,"+1

Helix relies on an obsolete version of Jackson (jackson-core-asl 1.8.5 + jackson-mapper-asl 1.8.5) which include a lot of critical vulnerabilities.

Could you consider upgrading these dependencies ?",helix
HELIX-746,16554970,2018-07-25T00:52:03.084+0000,2018-07-25T00:52:03.084+0000,hudson,Hudson,Etc/UTC,hudson,Hudson,Etc/UTC,"FAILURE: Integrated in Jenkins build helix #1527 (See [https://builds.apache.org/job/helix/1527/])
[HELIX-746] Fix removeJob so its behavior is more consistent with (narendly: rev ae23842d24409e26c67f5c99113762bd0eb714b0)
* (edit) helix-core/src/main/java/org/apache/helix/task/TaskUtil.java
",helix
HELIX-745,16554969,2018-07-25T00:52:02.208+0000,2018-07-25T00:52:02.208+0000,hudson,Hudson,Etc/UTC,hudson,Hudson,Etc/UTC,"FAILURE: Integrated in Jenkins build helix #1527 (See [https://builds.apache.org/job/helix/1527/])
[HELIX-745] Make AssignableInstanceManager listen on data changes to (narendly: rev 0af6e8c19af5ee916f93acd8582e53b776e9c712)
* (edit) helix-core/src/main/java/org/apache/helix/task/AssignableInstanceManager.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestQuotaBasedScheduling.java
* (edit) helix-core/src/main/java/org/apache/helix/common/caches/TaskDataCache.java
* (edit) helix-core/src/main/java/org/apache/helix/controller/stages/ClusterDataCache.java
",helix
HELIX-744,16554966,2018-07-25T00:49:41.368+0000,2018-07-25T00:49:41.368+0000,hudson,Hudson,Etc/UTC,hudson,Hudson,Etc/UTC,"FAILURE: Integrated in Jenkins build helix #1526 (See [https://builds.apache.org/job/helix/1526/])
[HELIX-744] Allow undefined workflow/job types to be assigned as DEFAULT (narendly: rev 6759040956907b197b6d65cb8b4759b7e8981883)
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestQuotaBasedScheduling.java
* (edit) helix-core/src/main/java/org/apache/helix/task/assigner/AssignableInstance.java
* (edit) helix-core/src/test/java/org/apache/helix/task/assigner/TestAssignableInstance.java
",helix
HELIX-743,16554826,2018-07-24T21:35:50.988+0000,2018-07-24T21:35:50.988+0000,hudson,Hudson,Etc/UTC,hudson,Hudson,Etc/UTC,"FAILURE: Integrated in Jenkins build helix #1525 (See [https://builds.apache.org/job/helix/1525/])
[HELIX-743] Fix purgeExpiredJobs() so that jobs whose removal has failed (narendly: rev c012c7b9dea35137935ac29c035a96aea570bf9c)
* (edit) helix-core/src/main/java/org/apache/helix/task/WorkflowRebalancer.java
",helix
HELIX-741,16547270,2018-07-18T01:24:59.103+0000,2018-07-18T01:24:59.103+0000,githubbot,ASF GitHub Bot,Etc/UTC,githubbot,ASF GitHub Bot,Etc/UTC,"GitHub user zhan849 opened a pull request:

    https://github.com/apache/helix/pull/258

    [HELIX-741] make swap instance more robust and idempotent

    Made swap instance more robust:
    1. List ideal state names and read ideal state individually to avoid partial read
    2. remove redundant logics that test old instance status
    3. make it idempotent
    4. added test cases

You can merge this pull request into a Git repository by running:

    $ git pull https://github.com/zhan849/helix harry/helix-admin

Alternatively you can review and apply these changes as the patch at:

    https://github.com/apache/helix/pull/258.patch

To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:

    This closes #258
    
----
commit 24c52394dfff91c045367260c969f76560ebeb62
Author: Harry Zhang <hrzhang@...>
Date:   2018-07-18T01:21:48Z

    [HELIX-741] make swap instance more robust and idempotent

----
",helix
HELIX-741,16553439,2018-07-23T21:58:17.352+0000,2018-07-23T21:58:17.352+0000,githubbot,ASF GitHub Bot,Etc/UTC,githubbot,ASF GitHub Bot,Etc/UTC,"Github user asfgit closed the pull request at:

    https://github.com/apache/helix/pull/258
",helix
HELIX-741,16553440,2018-07-23T22:00:28.981+0000,2018-07-23T22:00:28.981+0000,hudson,Hudson,Etc/UTC,hudson,Hudson,Etc/UTC,"FAILURE: Integrated in Jenkins build helix #1518 (See [https://builds.apache.org/job/helix/1518/])
[HELIX-741] make swap instance more robust and idempotent (hrzhang: rev 24c52394dfff91c045367260c969f76560ebeb62)
* (edit) helix-core/src/main/java/org/apache/helix/tools/ClusterSetup.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/TestSwapInstance.java
",helix
HELIX-740,16547184,2018-07-17T22:52:46.503+0000,2018-07-17T22:52:46.503+0000,githubbot,ASF GitHub Bot,Etc/UTC,githubbot,ASF GitHub Bot,Etc/UTC,"GitHub user zhan849 opened a pull request:

    https://github.com/apache/helix/pull/257

    [HELIX-740] check NPE in getInstancesInClusterWithTag and throw more meaningful exception

    Added cluster config check in `getInstancesInClusterWithTag()` and throw IllegalStateException when instance config is missing

You can merge this pull request into a Git repository by running:

    $ git pull https://github.com/zhan849/helix harry/helix-admin

Alternatively you can review and apply these changes as the patch at:

    https://github.com/apache/helix/pull/257.patch

To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:

    This closes #257
    
----
commit f4bb7d60782150c7d713c907211cc9d41f002c48
Author: Harry Zhang <hrzhang@...>
Date:   2018-07-17T22:50:02Z

    [HELIX-740] check NPE in getInstancesInClusterWithTag and throw more meaningful exception

----
",helix
HELIX-740,16547268,2018-07-18T01:20:34.993+0000,2018-07-18T01:20:34.993+0000,githubbot,ASF GitHub Bot,Etc/UTC,githubbot,ASF GitHub Bot,Etc/UTC,"Github user asfgit closed the pull request at:

    https://github.com/apache/helix/pull/257
",helix
HELIX-740,16547380,2018-07-18T05:14:08.166+0000,2018-07-18T05:14:08.166+0000,hudson,Hudson,Etc/UTC,hudson,Hudson,Etc/UTC,"FAILURE: Integrated in Jenkins build helix #1516 (See [https://builds.apache.org/job/helix/1516/])
[HELIX-740] check NPE in getInstancesInClusterWithTag and throw more (hrzhang: rev f4bb7d60782150c7d713c907211cc9d41f002c48)
* (edit) helix-core/src/main/java/org/apache/helix/manager/zk/ZKHelixAdmin.java
",helix
HELIX-739,16547379,2018-07-18T05:14:06.907+0000,2018-07-18T05:14:06.907+0000,hudson,Hudson,Etc/UTC,hudson,Hudson,Etc/UTC,"FAILURE: Integrated in Jenkins build helix #1516 (See [https://builds.apache.org/job/helix/1516/])
[HELIX-739] Remove old comments from TestQuotaBasedScheduling (narendly: rev abfb894e508938ee51c73fb8abcb02f7615386e0)
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestQuotaBasedScheduling.java
",helix
HELIX-738,16547378,2018-07-18T05:14:02.096+0000,2018-07-18T05:14:02.096+0000,hudson,Hudson,Etc/UTC,hudson,Hudson,Etc/UTC,"FAILURE: Integrated in Jenkins build helix #1516 (See [https://builds.apache.org/job/helix/1516/])
[HELIX-738] Remove quotaType APIs and make jobs inherit type from (narendly: rev 36ab2a6028dad39b32d3a15da942b4385ff9fd1d)
* (edit) helix-core/src/main/java/org/apache/helix/task/ThreadCountBasedTaskAssignmentCalculator.java
* (edit) helix-core/src/main/java/org/apache/helix/task/WorkflowConfig.java
* (edit) helix-core/src/main/java/org/apache/helix/task/JobConfig.java
* (edit) helix-core/src/main/java/org/apache/helix/task/TaskAssignmentCalculator.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestJobAndWorkflowType.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestWorkflowTermination.java
* (edit) helix-core/src/main/java/org/apache/helix/task/AbstractTaskDispatcher.java
* (edit) helix-core/src/main/java/org/apache/helix/task/AssignableInstanceManager.java
* (edit) helix-core/src/main/java/org/apache/helix/task/FixedTargetTaskAssignmentCalculator.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestQuotaBasedScheduling.java
",helix
